requisition_id,position_id,country,business_unit,department,sub_department,job_family,job_level,location,opening_date,approval_date,posting_date,requisition_status,recruiter_id,hire_date
REQ0000001,POS0000002,BR,Retail,Visual Merchandising,Merchandising,Design,IC1,STORE-BR-019,2015-11-05,2015-11-07,2015-11-10,Filled,REC0002,2016-01-03
REQ0000002,POS0000003,AR,Retail,Visual Merchandising,Merchandising,Store Operations,IC1,STORE-AR-010,2015-11-26,2015-11-27,2015-12-03,Filled,REC0005,2016-01-11
REQ0000003,POS0000004,BR,Retail,Sales,Floor Sales,Sales,IC1,STORE-BR-019,2015-11-01,2015-11-13,2015-11-19,Filled,REC0003,2016-01-12
REQ0000004,POS0000005,BR,Corporate,Data & Analytics,Data Governance,Data,IC2,HQ-BR-001,2015-10-29,2015-10-31,2015-10-31,Filled,REC0003,2016-01-08
REQ0000005,POS0000006,BR,Retail,Store Operations,Store Management,Store Operations,IC2,STORE-BR-001,2015-09-06,2015-09-26,2015-10-02,Filled,REC0001,2016-01-04
REQ0000006,POS0000007,BR,Retail,Visual Merchandising,Store Design,Store Operations,IC1,STORE-BR-013,2015-10-19,2015-10-26,2015-11-01,Filled,REC0001,2016-01-02
REQ0000007,POS0000008,BR,Retail,Regional Operations,Region Southeast,General Management,IC1,STORE-BR-027,2015-10-29,2015-11-01,2015-11-08,Filled,REC0004,2016-01-01
REQ0000008,POS0000009,BR,Retail,Store Operations,Cashier,Store Operations,IC1,STORE-BR-016,2015-11-17,2015-11-21,2015-11-26,Filled,REC0001,2016-01-14
REQ0000009,POS0000010,AR,Retail,Regional Operations,Region North,General Management,IC2,STORE-AR-007,2015-10-12,2015-10-17,2015-10-27,Filled,REC0005,2016-01-04
REQ0000010,POS0000011,BR,Digital,Product,Product Ops,Product Management,IC1,HQ-BR-001,2015-10-25,2015-11-06,2015-11-11,Filled,REC0005,2016-01-06
REQ0000011,POS0000012,BR,Customer,Customer Experience,CX Design,Design,IC1,SITE-BR-004,2015-12-15,2015-12-24,2015-12-24,Cancelled,REC0002,
REQ0000012,POS0000013,BR,Customer,Customer Service,Escalations,Customer Support,IC2,SITE-BR-001,2015-10-24,2015-11-12,2015-11-19,Filled,REC0005,2016-02-13
REQ0000013,POS0000014,BR,Retail,Store Operations,Cashier,Store Operations,IC1,STORE-BR-021,2015-12-19,2015-12-21,2015-12-24,Filled,REC0002,2016-02-05
REQ0000014,POS0000015,BR,Retail,Regional Operations,Region Southeast,Store Operations,IC1,STORE-BR-032,2015-12-02,2015-12-12,2015-12-18,Filled,REC0002,2016-02-04
REQ0000015,POS0000016,BR,Retail,Regional Operations,Region Southeast,Store Operations,IC1,STORE-BR-024,2015-12-18,2015-12-22,2015-12-22,Filled,REC0001,2016-02-05
REQ0000016,POS0000017,BR,Retail,Regional Operations,Region South,General Management,IC2,STORE-BR-035,2015-10-09,2015-10-22,2015-10-31,Filled,REC0003,2016-02-07
REQ0000017,POS0000018,AR,Retail,Sales,Key Accounts,Sales,IC2,STORE-AR-003,2015-09-23,2015-10-14,2015-10-22,Filled,REC0001,2016-02-06
REQ0000018,POS0000019,BR,Retail,Sales,Floor Sales,Sales,IC1,STORE-BR-036,2015-11-30,2015-12-12,2015-12-16,Filled,REC0004,2016-02-07
REQ0000019,POS0000020,BR,Corporate,Data & Analytics,Data Governance,Data,IC2,HQ-BR-001,2015-10-12,2015-10-31,2015-11-10,Filled,REC0002,2016-02-04
REQ0000020,POS0000021,BR,Retail,Sales,Floor Sales,Sales,IC2,STORE-BR-044,2015-11-22,2015-11-24,2015-11-30,Filled,REC0005,2016-02-14
REQ0000021,POS0000022,BR,Supply Chain,Distribution Centers,Inbound,Warehouse,IC1,DC-BR-004,2016-01-03,2016-01-12,2016-01-16,Filled,REC0002,2016-02-14
REQ0000022,POS0000023,BR,Retail,Regional Operations,Region Southeast,Store Operations,IC2,STORE-BR-016,2015-12-01,2015-12-22,2015-12-25,Cancelled,REC0004,
REQ0000023,POS0000024,AR,Supply Chain,Planning,Supply Planning,Logistics,IC2,DC-AR-001,2015-11-30,2015-12-11,2015-12-23,Filled,REC0003,2016-03-07
REQ0000024,POS0000025,AR,Retail,Store Operations,Stockroom,Store Operations,IC1,STORE-AR-004,2015-12-26,2016-01-03,2016-01-08,Filled,REC0002,2016-03-05
REQ0000025,POS0000026,BR,Corporate,Legal,Corporate Legal,Legal,IC3,HQ-BR-001,2015-12-28,2015-12-31,2016-01-01,Filled,REC0004,2016-03-11
REQ0000026,POS0000027,BR,Digital,Product,Product Ops,Product Management,IC3,HQ-BR-001,2015-11-25,2015-11-30,2015-12-06,Filled,REC0004,2016-03-02
REQ0000027,POS0000028,BR,Supply Chain,Procurement,Supplier Management,Procurement,IC1,DC-BR-005,2016-01-11,2016-01-21,2016-01-23,Filled,REC0001,2016-03-09
REQ0000028,POS0000029,BR,Corporate,Legal,Compliance,Legal,IC4,HQ-BR-001,2015-11-12,2015-12-05,2015-12-05,Filled,REC0002,2016-03-01
REQ0000029,POS0000030,AR,Retail,Store Operations,Store Management,Store Operations,IC1,STORE-AR-008,2016-01-18,2016-01-30,2016-01-31,Filled,REC0005,2016-03-10
REQ0000030,POS0000031,BR,Retail,Visual Merchandising,Merchandising,Store Operations,IC2,STORE-BR-016,2015-10-27,2015-11-07,2015-11-18,Filled,REC0004,2016-03-05
REQ0000031,POS0000032,AR,Retail,Sales,Floor Sales,Sales,IC1,STORE-AR-003,2016-02-10,2016-02-11,2016-02-14,Filled,REC0005,2016-03-11
REQ0000032,POS0000033,BR,Retail,Regional Operations,Region South,Store Operations,IC1,STORE-BR-031,2016-01-03,2016-01-05,2016-01-13,Filled,REC0002,2016-03-10
REQ0000033,POS0000034,BR,Customer,Customer Experience,Voice of Customer,Design,IC1,SITE-BR-001,2016-01-03,2016-01-09,2016-01-12,Filled,REC0002,2016-03-01
REQ0000034,POS0000035,BR,Retail,Regional Operations,Region Southeast,Store Operations,IC1,STORE-BR-011,2016-02-09,2016-02-12,2016-02-17,Filled,REC0004,2016-03-12
REQ0000035,POS0000036,BR,Customer,Customer Operations,Returns,Customer Support,IC2,SITE-BR-001,2016-01-01,2016-01-02,2016-01-14,Filled,REC0003,2016-03-03
REQ0000036,POS0000037,BR,Customer,Customer Experience,CX Design,Design,IC1,SITE-BR-001,2016-01-22,2016-01-25,2016-01-25,Cancelled,REC0003,
REQ0000037,POS0000038,BR,Retail,Visual Merchandising,Store Design,Design,IC1,STORE-BR-022,2015-12-25,2016-01-04,2016-01-08,Cancelled,REC0004,
REQ0000038,POS0000039,BR,Retail,Visual Merchandising,Store Design,Design,IC1,STORE-BR-004,2016-02-19,2016-02-24,2016-02-26,Filled,REC0005,2016-04-08
REQ0000039,POS0000040,BR,Retail,Regional Operations,Region Southeast,Store Operations,IC1,STORE-BR-018,2016-02-12,2016-02-20,2016-02-20,Filled,REC0001,2016-04-10
REQ0000040,POS0000041,AR,Retail,Store Operations,Security,Store Operations,IC5,STORE-AR-005,2015-10-24,2015-11-21,2015-12-06,Filled,REC0004,2016-04-13
REQ0000041,POS0000042,BR,Retail,Sales,Floor Sales,Sales,IC1,STORE-BR-044,2016-02-25,2016-03-07,2016-03-07,Filled,REC0003,2016-04-09
REQ0000042,POS0000043,BR,Retail,Store Operations,Stockroom,Store Operations,IC1,STORE-BR-010,2016-02-03,2016-02-07,2016-02-09,Filled,REC0001,2016-04-13
REQ0000043,POS0000044,BR,Customer,Customer Operations,Order Support,Customer Support,IC1,SITE-BR-002,2016-03-02,2016-03-10,2016-03-16,Filled,REC0003,2016-04-07
REQ0000044,POS0000045,BR,Digital,Digital Marketing,Paid Media,Marketing,IC3,HQ-BR-001,2015-11-28,2015-11-29,2015-12-03,Filled,REC0005,2016-04-11
REQ0000045,POS0000046,BR,Retail,Store Operations,Store Management,Store Operations,IC1,STORE-BR-024,2016-01-31,2016-02-07,2016-02-11,Filled,REC0002,2016-04-12
REQ0000046,POS0000047,BR,Retail,Visual Merchandising,Merchandising,Store Operations,IC1,STORE-BR-028,2016-01-19,2016-01-28,2016-02-03,Filled,REC0001,2016-04-03
REQ0000047,POS0000048,BR,Customer,Customer Service,Escalations,Customer Support,IC1,SITE-BR-003,2016-01-30,2016-02-06,2016-02-12,Filled,REC0002,2016-04-01
REQ0000048,POS0000049,BR,Retail,Sales,Floor Sales,Sales,IC1,STORE-BR-042,2016-02-19,2016-02-21,2016-02-25,Cancelled,REC0004,
REQ0000049,POS0000050,BR,Corporate,Strategy,Corporate Strategy,Strategy,IC1,HQ-BR-001,2016-02-21,2016-03-01,2016-03-07,Filled,REC0003,2016-05-10
REQ0000050,POS0000051,BR,Supply Chain,Planning,Demand Planning,Logistics,IC1,DC-BR-005,2016-03-22,2016-03-25,2016-04-01,Filled,REC0005,2016-05-08
REQ0000051,POS0000052,BR,Corporate,Data & Analytics,Data Governance,Data,IC3,HQ-BR-001,2015-12-22,2015-12-28,2015-12-29,Filled,REC0003,2016-05-03
REQ0000052,POS0000053,BR,Customer,Customer Operations,Order Support,Logistics,IC1,SITE-BR-002,2016-02-28,2016-03-05,2016-03-12,Filled,REC0001,2016-05-09
REQ0000053,POS0000054,BR,Customer,Customer Operations,Order Support,Logistics,IC2,SITE-BR-004,2016-02-16,2016-02-27,2016-03-09,Filled,REC0003,2016-05-13
REQ0000054,POS0000055,BR,Retail,Store Operations,Cashier,Store Operations,IC1,STORE-BR-029,2016-03-07,2016-03-10,2016-03-16,Filled,REC0002,2016-05-13
REQ0000055,POS0000056,BR,Supply Chain,Procurement,Supplier Management,Procurement,IC2,DC-BR-005,2016-03-08,2016-03-16,2016-03-19,Filled,REC0001,2016-05-09
