employee_id,snapshot_date,active_flag,fte,country,business_unit,department,sub_department,job_family,job_level,job_level_group,location,manager_id,employment_type,org_key,segment,origin
1,2016-01-31,1,1.0,BR,Retail,Regional Operations,Region South,Store Operations,IC1,Entry,STORE-BR-036,5,Permanent,54,retail_ops,initial
2,2016-01-31,1,1.0,BR,Supply Chain,Distribution Centers,Inventory,Warehouse,IC3,Professional,DC-BR-005,267,Permanent,62,supply,initial
3,2016-01-31,1,1.0,BR,Supply Chain,Distribution Centers,Inventory,Warehouse,IC1,Entry,DC-BR-005,48,Temporary,62,supply,initial
4,2016-01-31,1,1.0,BR,Customer,Customer Service,Contact Center,Customer Support,IC2,Professional,SITE-BR-003,171,Permanent,69,customer,initial
5,2016-01-31,1,1.0,BR,Retail,Regional Operations,Region North,Store Operations,IC2,Professional,STORE-BR-029,34,Permanent,52,retail_ops,initial
6,2016-01-31,1,1.0,BR,Digital,Product,Product Ops,Product Management,IC3,Professional,HQ-BR-001,192,Temporary,33,digital,initial
7,2016-01-31,1,1.0,BR,Retail,Sales,Key Accounts,Sales,IC2,Professional,STORE-BR-002,144,Permanent,51,retail_ops,initial
8,2016-01-31,1,1.0,BR,Digital,Digital Marketing,SEO,Marketing,M2,Manager,HQ-BR-001,121,Temporary,43,digital,initial
9,2016-01-31,1,1.0,BR,Supply Chain,Planning,Demand Planning,Logistics,IC3,Professional,DC-BR-003,257,Permanent,65,supply,initial
10,2016-01-31,1,1.0,BR,Supply Chain,Procurement,Sourcing,Procurement,M3,Senior Manager,DC-BR-003,212,Permanent,63,supply,initial
11,2016-01-31,1,1.0,BR,Retail,Visual Merchandising,Store Design,Design,IC2,Professional,STORE-BR-029,273,Permanent,55,retail_ops,initial
12,2016-01-31,1,1.0,BR,Retail,Regional Operations,Region South,General Management,IC2,Professional,STORE-BR-034,34,Permanent,54,retail_ops,initial
13,2016-01-31,1,1.0,BR,Retail,Sales,Floor Sales,Sales,IC1,Entry,STORE-BR-005,7,Permanent,50,retail_ops,initial
14,2016-01-31,1,1.0,BR,Retail,Visual Merchandising,Store Design,Store Operations,M3,Senior Manager,STORE-BR-039,212,Permanent,55,retail_ops,initial
15,2016-01-31,1,1.0,BR,Retail,Sales,Floor Sales,Sales,IC1,Entry,STORE-BR-036,24,Permanent,50,retail_ops,initial
16,2016-01-31,1,1.0,BR,Customer,Customer Experience,Voice of Customer,Customer Support,IC1,Entry,SITE-BR-002,90,Permanent,68,customer,initial
17,2016-01-31,1,1.0,BR,Retail,Sales,Floor Sales,Sales,IC1,Entry,STORE-BR-015,26,Permanent,50,retail_ops,initial
18,2016-01-31,1,1.0,BR,Retail,Regional Operations,Region Southeast,General Management,IC2,Professional,STORE-BR-016,34,Permanent,53,retail_ops,initial
19,2016-01-31,1,1.0,BR,Supply Chain,Logistics,Reverse Logistics,Logistics,IC2,Professional,DC-BR-001,260,Permanent,59,supply,initial
20,2016-01-31,1,1.0,BR,Supply Chain,Distribution Centers,Outbound,Warehouse,IC1,Entry,DC-BR-001,48,Permanent,61,supply,initial
21,2016-01-31,1,1.0,BR,Retail,Store Operations,Stockroom,Store Operations,IC2,Professional,STORE-BR-006,136,Permanent,48,retail_ops,initial
22,2016-01-31,1,1.0,BR,Corporate,Legal,Corporate Legal,Legal,IC1,Entry,HQ-BR-001,55,Temporary,10,corporate,initial
23,2016-01-31,1,1.0,BR,Retail,Sales,Floor Sales,Sales,IC1,Entry,STORE-BR-020,42,Temporary,50,retail_ops,initial
24,2016-01-31,1,1.0,BR,Retail,Sales,Floor Sales,Sales,IC2,Professional,STORE-BR-012,144,Temporary,50,retail_ops,initial
25,2016-01-31,1,1.0,BR,Retail,Visual Merchandising,Merchandising,Store Operations,IC1,Entry,STORE-BR-012,11,Permanent,56,retail_ops,initial
26,2016-01-31,1,1.0,BR,Retail,Sales,Floor Sales,Sales,IC2,Professional,STORE-BR-013,144,Permanent,50,retail_ops,initial
27,2016-01-31,1,1.0,BR,Corporate,Finance,FP&A,Finance,IC3,Professional,HQ-BR-001,29,Permanent,9,corporate,initial
28,2016-01-31,1,1.0,BR,Corporate,Finance,FP&A,Finance,IC1,Entry,HQ-BR-001,89,Permanent,9,corporate,initial
29,2016-01-31,1,1.0,BR,Corporate,Strategy,Corporate Strategy,Strategy,IC4,Senior Professional,HQ-BR-001,193,Permanent,17,corporate,initial
30,2016-01-31,1,1.0,BR,Customer,Customer Operations,Returns,Customer Support,IC1,Entry,SITE-BR-002,165,Permanent,73,customer,initial
31,2016-01-31,1,1.0,BR,Retail,Regional Operations,Region Southeast,Store Operations,IC2,Professional,STORE-BR-016,34,Permanent,53,retail_ops,initial
32,2016-01-31,1,1.0,BR,Retail,Visual Merchandising,Store Design,Store Operations,IC2,Professional,STORE-BR-040,294,Permanent,55,retail_ops,initial
33,2016-01-31,1,1.0,BR,Retail,Sales,Key Accounts,Sales,IC1,Entry,STORE-BR-036,61,Permanent,51,retail_ops,initial
34,2016-01-31,1,1.0,BR,Retail,Regional Operations,Region Southeast,General Management,IC3,Professional,STORE-BR-002,98,Permanent,53,retail_ops,initial
35,2016-01-31,1,1.0,BR,Retail,Regional Operations,Region Southeast,Store Operations,IC2,Professional,STORE-BR-037,34,Permanent,53,retail_ops,initial
36,2016-01-31,1,1.0,BR,Supply Chain,Distribution Centers,Outbound,Warehouse,IC1,Entry,DC-BR-005,48,Permanent,61,supply,initial
37,2016-01-31,1,0.5,BR,Retail,Visual Merchandising,Store Design,Design,IC1,Entry,STORE-BR-029,32,Permanent,55,retail_ops,initial
38,2016-01-31,1,1.0,BR,Supply Chain,Logistics,Transportation,Logistics,IC2,Professional,DC-BR-005,260,Permanent,57,supply,initial
39,2016-01-31,1,1.0,BR,Customer,Customer Service,Chat,Customer Support,IC1,Entry,SITE-BR-002,4,Intern,70,customer,initial
40,2016-01-31,1,1.0,BR,Customer,Customer Operations,Returns,Logistics,IC1,Entry,SITE-BR-003,288,Permanent,73,customer,initial
41,2016-01-31,1,0.5,BR,Retail,Visual Merchandising,Merchandising,Store Operations,IC1,Entry,STORE-BR-010,71,Permanent,56,retail_ops,initial
42,2016-01-31,1,1.0,BR,Retail,Sales,Key Accounts,Sales,IC2,Professional,STORE-BR-027,144,Permanent,51,retail_ops,initial
43,2016-01-31,1,1.0,BR,Supply Chain,Distribution Centers,Inbound,Warehouse,IC1,Entry,DC-BR-001,48,Permanent,60,supply,initial
44,2016-01-31,1,0.5,BR,Retail,Regional Operations,Region North,General Management,IC1,Entry,STORE-BR-004,12,Permanent,52,retail_ops,initial
45,2016-01-31,1,1.0,BR,Corporate,Procurement,Indirect Procurement,Procurement,IC4,Senior Professional,HQ-BR-001,187,Permanent,20,corporate,initial
46,2016-01-31,1,1.0,BR,Supply Chain,Procurement,Sourcing,Procurement,IC1,Entry,DC-BR-005,204,Temporary,63,supply,initial
47,2016-01-31,1,1.0,BR,Corporate,Procurement,Contracts,Procurement,IC1,Entry,HQ-BR-001,88,Permanent,21,corporate,initial
48,2016-01-31,1,1.0,BR,Supply Chain,Distribution Centers,Inventory,Warehouse,IC2,Professional,DC-BR-003,2,Permanent,62,supply,initial
49,2016-01-31,1,1.0,BR,Supply Chain,Procurement,Sourcing,Procurement,IC1,Entry,DC-BR-003,302,Permanent,63,supply,initial
50,2016-01-31,1,1.0,BR,Corporate,Data & Analytics,Business Intelligence,Data,IC1,Entry,HQ-BR-001,202,Permanent,25,corporate,initial
51,2016-01-31,1,1.0,BR,Customer,Customer Service,Chat,Customer Support,IC1,Entry,SITE-BR-003,53,Permanent,70,customer,initial
52,2016-01-31,1,1.0,BR,Retail,Visual Merchandising,Merchandising,Store Operations,IC1,Entry,STORE-BR-007,108,Permanent,56,retail_ops,initial
53,2016-01-31,1,1.0,BR,Customer,Customer Service,Contact Center,Customer Support,IC2,Professional,SITE-BR-004,171,Apprentice,69,customer,initial
54,2016-01-31,1,1.0,BR,Corporate,People,Learning & Development,People,IC1,Entry,HQ-BR-001,113,Permanent,5,corporate,initial
55,2016-01-31,1,1.0,BR,Corporate,Legal,Corporate Legal,Legal,IC2,Professional,HQ-BR-001,119,Permanent,10,corporate,initial
56,2016-01-31,1,0.5,BR,Retail,Regional Operations,Region North,General Management,IC1,Entry,STORE-BR-022,18,Temporary,52,retail_ops,initial
57,2016-01-31,1,1.0,BR,Corporate,People,People Analytics,People,IC1,Entry,HQ-BR-001,156,Permanent,4,corporate,initial
59,2016-01-31,1,1.0,BR,Corporate,Strategy,Corporate Strategy,Strategy,IC1,Entry,HQ-BR-001,162,Permanent,17,corporate,initial
60,2016-01-31,1,1.0,BR,Corporate,Marketing,Content,Marketing,IC4,Senior Professional,HQ-BR-001,321,Permanent,16,corporate,initial
61,2016-01-31,1,1.0,BR,Retail,Sales,Key Accounts,Sales,IC2,Professional,STORE-BR-042,144,Permanent,51,retail_ops,initial
