termination_id,employee_id,termination_date,termination_type,termination_reason,voluntary_flag,regrettable_flag,department,business_unit,sub_department,job_family,job_level,manager_id,tenure_months,country,segment
TERM0000099,99,2016-01-23,Retirement,Retirement,true,false,Store Operations,Retail,Security,Store Operations,M1,65,4,BR,retail_ops
TERM0000157,157,2016-01-21,Performance,Performance,false,false,Sales,Retail,Key Accounts,Sales,IC1,7,15,BR,retail_ops
TERM0000180,180,2016-01-26,Layoff,Layoff,false,false,Sales,Retail,Key Accounts,Sales,IC1,24,52,BR,retail_ops
TERM0000184,184,2016-01-18,Layoff,Layoff,false,false,Store Operations,Retail,Cashier,Store Operations,IC2,136,10,BR,retail_ops
TERM0000284,284,2016-01-16,Other,Other,false,false,Sales,Retail,Floor Sales,Sales,IC1,326,1,BR,retail_ops
TERM0000334,334,2016-01-21,Redundancy,Redundancy,false,false,Regional Operations,Retail,Region Southeast,General Management,IC2,34,19,BR,retail_ops
TERM0000353,353,2016-01-26,Redundancy,Redundancy,false,true,Store Operations,Retail,Stockroom,Store Operations,IC1,375,8,AR,retail_ops
TERM0000058,58,2016-01-17,Resignation,Resignation,true,false,Digital Marketing,Digital,SEO,Marketing,IC2,168,4,BR,digital
TERM0000067,67,2016-01-27,Resignation,Resignation,true,false,UX,Digital,Design System,Design,IC5,70,33,BR,digital
TERM0000164,164,2016-01-28,Resignation,Resignation,true,false,Product,Digital,Product Ops,Product Management,IC1,116,26,BR,digital
TERM0000112,112,2016-02-23,Retirement,Retirement,true,false,Visual Merchandising,Retail,Merchandising,Design,IC2,273,23,BR,retail_ops
TERM0000219,219,2016-02-24,Retirement,Retirement,true,false,Store Operations,Retail,Store Management,Store Operations,M1,65,14,BR,retail_ops
TERM0000311,311,2016-02-17,Retirement,Retirement,true,false,Store Operations,Retail,Cashier,Store Operations,IC1,280,11,BR,retail_ops
TERM0000376,376,2016-02-24,Resignation,Resignation,true,false,Sales,Retail,Key Accounts,Sales,IC1,379,3,AR,retail_ops
TERM0000222,222,2016-02-18,Resignation,Resignation,true,true,Logistics,Supply Chain,Reverse Logistics,Logistics,IC1,19,5,BR,supply
TERM0000304,304,2016-02-19,Retirement,Retirement,true,false,Procurement,Supply Chain,Sourcing,Procurement,IC2,319,22,BR,supply
TERM0000350,350,2016-02-22,Retirement,Retirement,true,false,Planning,Supply Chain,Supply Planning,Data,IC1,344,18,AR,supply
TERM0000035,35,2016-03-19,Resignation,Resignation,true,true,Regional Operations,Retail,Region Southeast,Store Operations,IC2,34,34,BR,retail_ops
TERM0000041,41,2016-03-19,Retirement,Retirement,true,false,Visual Merchandising,Retail,Merchandising,Store Operations,IC1,71,19,BR,retail_ops
TERM0000052,52,2016-03-24,Retirement,Retirement,true,true,Visual Merchandising,Retail,Merchandising,Store Operations,IC1,108,17,BR,retail_ops
TERM0000190,190,2016-03-21,Redundancy,Redundancy,false,false,Store Operations,Retail,Cashier,Store Operations,IC2,136,3,BR,retail_ops
TERM0000211,211,2016-03-26,Layoff,Layoff,false,false,Regional Operations,Retail,Region Southeast,Store Operations,IC1,251,90,BR,retail_ops
TERM0000039,39,2016-03-18,Performance,Performance,false,false,Customer Service,Customer,Chat,Customer Support,IC1,4,22,BR,customer
TERM0000266,266,2016-03-19,Other,Other,false,false,Customer Operations,Customer,Returns,Logistics,IC1,165,4,BR,customer
TERM0000234,234,2016-03-19,Resignation,Resignation,true,false,Engineering,Digital,Backend,Software Engineering,IC3,86,4,BR,digital
TERM0000147,147,2016-03-23,Retirement,Retirement,true,false,Legal,Corporate,Corporate Legal,Legal,IC2,119,7,BR,corporate
TERM0000237,237,2016-04-24,EndOfContract,EndOfContract,false,false,Sales,Retail,Floor Sales,Sales,IC1,139,31,BR,retail_ops
TERM0000247,247,2016-04-19,Retirement,Retirement,true,false,Visual Merchandising,Retail,Store Design,Store Operations,IC1,71,46,BR,retail_ops
TERM0000300,300,2016-04-24,Resignation,Resignation,true,true,Regional Operations,Retail,Region Southeast,General Management,IC1,12,12,BR,retail_ops
TERM0000359,359,2016-04-18,Retirement,Retirement,true,false,Customer Service,Customer,Contact Center,Customer Support,IC1,389,20,AR,customer
TERM0000267,267,2016-04-20,Retirement,Retirement,true,false,Distribution Centers,Supply Chain,Inventory,Warehouse,M1,303,3,BR,supply
TERM0000356,356,2016-04-28,Retirement,Retirement,true,false,Logistics,Supply Chain,Last Mile,Logistics,IC2,339,46,AR,supply
TERM0000236,236,2016-04-16,Retirement,Retirement,true,false,Risk,Corporate,Risk Management,Risk & Compliance,IC1,248,18,BR,corporate
TERM0000306,306,2016-05-16,Layoff,Layoff,false,true,Store Operations,Retail,Security,Store Operations,IC1,77,21,BR,retail_ops
TERM0000402,402,2016-05-18,Resignation,Resignation,true,false,Store Operations,Retail,Stockroom,Store Operations,IC1,375,2,AR,retail_ops
TERM0000040,40,2016-05-25,EndOfContract,EndOfContract,false,false,Customer Operations,Customer,Returns,Logistics,IC1,288,15,BR,customer
TERM0000178,178,2016-05-25,Retirement,Retirement,true,false,UX,Digital,Product Design,Design,IC4,177,21,BR,digital
TERM0000161,161,2016-06-27,Resignation,Resignation,true,true,Sales,Retail,Floor Sales,Sales,IC2,144,6,BR,retail_ops
TERM0000235,235,2016-06-18,Redundancy,Redundancy,false,false,Visual Merchandising,Retail,Merchandising,Design,IC1,11,9,BR,retail_ops
TERM0000299,299,2016-06-22,Resignation,Resignation,true,false,Visual Merchandising,Retail,Store Design,Store Operations,IC1,223,15,BR,retail_ops
TERM0000351,351,2016-06-28,Resignation,Resignation,true,true,Regional Operations,Retail,Region Southeast,Store Operations,IC3,343,20,AR,retail_ops
TERM0000385,385,2016-06-20,Layoff,Layoff,false,false,Store Operations,Retail,Store Management,Store Operations,IC2,136,5,BR,retail_ops
TERM0000051,51,2016-06-22,Retirement,Retirement,true,false,Customer Service,Customer,Chat,Customer Support,IC1,53,5,BR,customer
TERM0000240,240,2016-07-16,Redundancy,Redundancy,false,false,Visual Merchandising,Retail,Store Design,Design,IC1,32,81,BR,retail_ops
TERM0000394,394,2016-07-24,EndOfContract,EndOfContract,false,false,Regional Operations,Retail,Region Southeast,Store Operations,IC1,111,5,BR,retail_ops
TERM0000291,291,2016-07-28,Other,Other,false,false,Customer Operations,Customer,Returns,Logistics,IC1,288,23,BR,customer
TERM0000371,371,2016-07-18,EndOfContract,EndOfContract,false,false,Customer Operations,Customer,Returns,Logistics,IC1,357,59,AR,customer
TERM0000259,259,2016-07-23,EndOfContract,EndOfContract,false,false,Logistics,Supply Chain,Transportation,Logistics,IC1,38,17,BR,supply
TERM0000314,314,2016-07-27,Resignation,Resignation,true,true,Data,Digital,Data Engineering,Data,IC5,70,46,BR,digital
TERM0000122,122,2016-08-27,Resignation,Resignation,true,false,Regional Operations,Retail,Region South,General Management,IC1,174,22,BR,retail_ops
TERM0000136,136,2016-08-21,Layoff,Layoff,false,false,Store Operations,Retail,Security,Store Operations,IC3,141,27,BR,retail_ops
TERM0000361,361,2016-08-20,Other,Other,false,false,Regional Operations,Retail,Region Southeast,General Management,IC1,389,8,AR,retail_ops
TERM0000388,388,2016-08-22,Retirement,Retirement,true,false,Store Operations,Retail,Cashier,Store Operations,IC1,313,7,BR,retail_ops
TERM0000389,389,2016-08-21,EndOfContract,EndOfContract,false,false,Regional Operations,Retail,Region North,General Management,IC2,336,7,AR,retail_ops
TERM0000409,409,2016-08-25,Retirement,Retirement,true,false,Sales,Retail,Floor Sales,Sales,IC1,396,5,AR,retail_ops
TERM0000421,421,2016-08-19,Redundancy,Redundancy,false,true,Store Operations,Retail,Store Management,Store Operations,IC1,221,4,BR,retail_ops
TERM0000002,2,2016-08-19,Retirement,Retirement,true,false,Customer Experience,Customer,Voice of Customer,Customer Support,IC3,194,30,BR,customer
TERM0000329,329,2016-08-27,Retirement,Retirement,true,false,Customer Experience,Customer,CX Design,Customer Support,IC2,194,48,BR,customer
TERM0000125,125,2016-08-23,Retirement,Retirement,true,false,Planning,Supply Chain,Demand Planning,Data,IC2,9,29,BR,supply
TERM0000338,338,2016-08-26,Retirement,Retirement,true,false,Planning,Supply Chain,Demand Planning,Data,IC1,355,39,AR,supply
TERM0000348,348,2016-08-28,EndOfContract,EndOfContract,false,false,Logistics,Supply Chain,Last Mile,Logistics,IC2,339,34,AR,supply
TERM0000168,168,2016-08-18,Retirement,Retirement,true,false,Digital Marketing,Digital,Paid Media,Marketing,IC5,8,99,BR,digital
TERM0000111,111,2016-09-26,Other,Other,false,false,Regional Operations,Retail,Region North,Store Operations,IC2,34,36,BR,retail_ops
TERM0000226,226,2016-09-26,Retirement,Retirement,true,false,Regional Operations,Retail,Region Southeast,Store Operations,IC1,395,37,BR,retail_ops
TERM0000293,293,2016-09-28,Retirement,Retirement,true,false,Store Operations,Retail,Stockroom,Store Operations,IC1,189,22,BR,retail_ops
TERM0000397,397,2016-09-26,Retirement,Retirement,true,false,Sales,Retail,Floor Sales,Sales,IC1,24,7,BR,retail_ops
TERM0000432,432,2016-09-19,Layoff,Layoff,false,false,Store Operations,Retail,Cashier,Store Operations,IC1,375,3,AR,retail_ops
TERM0000387,387,2016-09-20,Retirement,Retirement,true,false,Engineering,Digital,Platform,Software Engineering,IC1,283,8,BR,digital
TERM0000124,124,2016-09-26,Retirement,Retirement,true,false,Marketing,Corporate,Performance,Marketing,IC1,60,17,BR,corporate
TERM0000025,25,2016-10-21,Resignation,Resignation,true,false,Visual Merchandising,Retail,Merchandising,Store Operations,IC1,11,20,BR,retail_ops
TERM0000198,198,2016-10-23,Resignation,Resignation,true,false,Regional Operations,Retail,Region South,General Management,IC1,239,9,BR,retail_ops
TERM0000213,213,2016-10-23,Resignation,Resignation,true,false,Regional Operations,Retail,Region North,General Management,IC1,270,16,BR,retail_ops
TERM0000239,239,2016-10-28,Retirement,Retirement,true,false,Regional Operations,Retail,Region Southeast,Store Operations,IC2,34,11,BR,retail_ops
TERM0000369,369,2016-10-26,Redundancy,Redundancy,false,true,Store Operations,Retail,Cashier,Store Operations,IC1,375,71,AR,retail_ops
TERM0000377,377,2016-10-17,Retirement,Retirement,true,false,Regional Operations,Retail,Region North,General Management,IC1,396,43,AR,retail_ops
TERM0000412,412,2016-10-23,Retirement,Retirement,true,false,Regional Operations,Retail,Region Southeast,Store Operations,IC1,146,7,BR,retail_ops
TERM0000446,446,2016-10-23,Performance,Performance,false,false,Sales,Retail,Floor Sales,Sales,IC1,42,3,BR,retail_ops
TERM0000257,257,2016-10-16,Other,Other,false,false,Planning,Supply Chain,Demand Planning,Logistics,M1,246,58,BR,supply
TERM0000437,437,2016-10-21,Redundancy,Redundancy,false,false,Strategy,Corporate,PMO,Strategy,IC2,218,4,BR,corporate
TERM0000056,56,2016-11-22,Resignation,Resignation,true,false,Regional Operations,Retail,Region North,General Management,IC2,472,131,BR,retail_ops
TERM0000185,185,2016-11-28,Retirement,Retirement,true,false,Visual Merchandising,Retail,Merchandising,Design,IC1,32,13,BR,retail_ops
TERM0000265,265,2016-11-20,EndOfContract,EndOfContract,false,false,Visual Merchandising,Retail,Merchandising,Store Operations,IC1,108,19,BR,retail_ops
TERM0000372,372,2016-11-27,Resignation,Resignation,true,true,Sales,Retail,Key Accounts,Sales,IC2,343,14,AR,retail_ops
TERM0000204,204,2016-11-28,Retirement,Retirement,true,false,Procurement,Supply Chain,Sourcing,Procurement,IC2,319,21,BR,supply
TERM0000053,53,2016-11-19,Retirement,Retirement,true,false,Customer Service,Customer,Contact Center,Customer Support,IC2,171,12,BR,customer
TERM0000332,332,2016-11-24,EndOfContract,EndOfContract,false,false,Customer Service,Customer,Escalations,Customer Support,IC1,4,14,BR,customer
TERM0000023,23,2016-12-28,Resignation,Resignation,true,false,Sales,Retail,Floor Sales,Sales,IC1,42,130,BR,retail_ops
TERM0000317,317,2016-12-20,Retirement,Retirement,true,false,Regional Operations,Retail,Region South,Store Operations,IC1,18,37,BR,retail_ops
TERM0000382,382,2016-12-20,Performance,Performance,false,false,Visual Merchandising,Retail,Merchandising,Store Operations,IC1,365,11,AR,retail_ops
TERM0000512,512,2016-12-23,Layoff,Layoff,false,false,Store Operations,Retail,Store Management,Store Operations,IC2,336,1,AR,retail_ops
TERM0000525,525,2016-12-24,Retirement,Retirement,true,false,Visual Merchandising,Retail,Store Design,Store Operations,IC1,502,1,BR,retail_ops
TERM0000364,364,2016-12-27,Retirement,Retirement,true,false,Logistics,Supply Chain,Transportation,Logistics,IC2,339,19,AR,supply
TERM0000114,114,2016-12-25,EndOfContract,EndOfContract,false,false,Customer Service,Customer,Contact Center,Customer Support,IC1,189,45,BR,customer
TERM0000005,5,2017-01-17,Resignation,Resignation,true,false,Regional Operations,Retail,Region North,Store Operations,IC2,34,20,BR,retail_ops
TERM0000044,44,2017-01-22,Resignation,Resignation,true,false,Regional Operations,Retail,Region North,General Management,IC1,12,21,BR,retail_ops
TERM0000289,289,2017-01-18,Redundancy,Redundancy,false,false,Visual Merchandising,Retail,Store Design,Store Operations,IC1,170,64,BR,retail_ops
TERM0000443,443,2017-01-28,Redundancy,Redundancy,false,false,Store Operations,Retail,Security,Store Operations,IC1,316,6,BR,retail_ops
TERM0000445,445,2017-01-20,Redundancy,Redundancy,false,true,Visual Merchandising,Retail,Store Design,Design,IC1,365,6,AR,retail_ops
TERM0000455,455,2017-01-25,Retirement,Retirement,true,false,Store Operations,Retail,Stockroom,Store Operations,IC1,313,5,BR,retail_ops
TERM0000462,462,2017-01-19,Resignation,Resignation,true,false,Store Operations,Retail,Security,Store Operations,IC2,336,5,AR,retail_ops
TERM0000487,487,2017-01-24,Other,Other,false,false,Sales,Retail,Key Accounts,Sales,IC1,391,3,BR,retail_ops
TERM0000019,19,2017-01-20,Layoff,Layoff,false,false,Logistics,Supply Chain,Reverse Logistics,Logistics,IC2,260,24,BR,supply
TERM0000271,271,2017-01-27,Resignation,Resignation,true,false,Planning,Supply Chain,Demand Planning,Logistics,IC1,305,18,BR,supply
TERM0000470,470,2017-01-20,EndOfContract,EndOfContract,false,false,Planning,Supply Chain,Demand Planning,Logistics,IC1,305,4,BR,supply
TERM0000103,103,2017-01-28,Layoff,Layoff,false,false,Customer Operations,Customer,Order Support,Logistics,IC1,165,15,BR,customer
TERM0000426,426,2017-01-22,Resignation,Resignation,true,false,Data & Analytics,Corporate,Data Governance,Data,IC3,92,8,BR,corporate
TERM0000007,7,2017-02-25,Resignation,Resignation,true,true,Sales,Retail,Key Accounts,Sales,IC2,144,18,BR,retail_ops
TERM0000037,37,2017-02-26,Redundancy,Redundancy,false,false,Visual Merchandising,Retail,Store Design,Design,IC1,32,33,BR,retail_ops
TERM0000108,108,2017-02-17,Resignation,Resignation,true,true,Visual Merchandising,Retail,Merchandising,Design,IC2,294,22,BR,retail_ops
TERM0000228,228,2017-02-17,Other,Other,false,false,Visual Merchandising,Retail,Merchandising,Design,IC1,223,22,BR,retail_ops
TERM0000459,459,2017-02-23,Resignation,Resignation,true,true,Sales,Retail,Floor Sales,Sales,IC2,144,6,BR,retail_ops
TERM0000472,472,2017-02-27,Resignation,Resignation,true,true,Regional Operations,Retail,Region South,General Management,IC3,208,5,BR,retail_ops
TERM0000340,340,2017-02-21,Retirement,Retirement,true,false,Planning,Supply Chain,Supply Planning,Data,IC1,373,28,AR,supply
TERM0000163,163,2017-02-26,Retirement,Retirement,true,false,Customer Operations,Customer,Returns,Logistics,IC1,165,47,BR,customer
TERM0000225,225,2017-02-16,Retirement,Retirement,true,false,Customer Experience,Customer,CX Design,Design,IC1,90,34,BR,customer
TERM0000231,231,2017-02-18,Other,Other,false,false,Customer Operations,Customer,Returns,Customer Support,IC1,288,17,BR,customer
TERM0000465,465,2017-02-28,Retirement,Retirement,true,false,Data,Digital,Data Engineering,Data,IC2,120,6,BR,digital
TERM0000054,54,2017-02-20,EndOfContract,EndOfContract,false,false,People,Corporate,Learning & Development,People,IC1,113,81,BR,corporate
TERM0000127,127,2017-03-17,Retirement,Retirement,true,false,Store Operations,Retail,Store Management,Store Operations,IC2,129,34,BR,retail_ops
TERM0000129,129,2017-03-17,Retirement,Retirement,true,true,Store Operations,Retail,Store Management,Store Operations,M1,65,15,BR,retail_ops
TERM0000145,145,2017-03-17,Resignation,Resignation,true,false,Visual Merchandising,Retail,Merchandising,Design,IC1,170,161,BR,retail_ops
TERM0000209,209,2017-03-22,Resignation,Resignation,true,true,Store Operations,Retail,Security,Store Operations,IC1,280,18,BR,retail_ops
TERM0000260,260,2017-03-17,Retirement,Retirement,true,false,Store Operations,Retail,Cashier,Store Operations,IC3,467,37,BR,retail_ops
TERM0000362,362,2017-03-22,Redundancy,Redundancy,false,false,Sales,Retail,Floor Sales,Sales,IC2,341,37,AR,retail_ops
TERM0000508,508,2017-03-24,Performance,Performance,false,false,Sales,Retail,Key Accounts,Sales,IC1,42,4,BR,retail_ops
TERM0000519,519,2017-03-22,Resignation,Resignation,true,true,Store Operations,Retail,Store Management,Store Operations,IC3,467,4,BR,retail_ops
TERM0000540,540,2017-03-25,Resignation,Resignation,true,true,Regional Operations,Retail,Region South,Store Operations,IC2,18,3,BR,retail_ops
TERM0000533,533,2017-03-18,Layoff,Layoff,false,false,Procurement,Supply Chain,Sourcing,Procurement,IC3,297,3,BR,supply
TERM0000413,413,2017-03-26,Retirement,Retirement,true,false,Customer Operations,Customer,Returns,Customer Support,IC2,252,12,BR,customer
TERM0000419,419,2017-03-17,Resignation,Resignation,true,false,Customer Operations,Customer,Order Support,Customer Support,IC1,288,11,BR,customer
TERM0000456,456,2017-03-20,Other,Other,false,false,Customer Operations,Customer,Order Support,Customer Support,IC1,428,7,BR,customer
TERM0000354,354,2017-04-24,Retirement,Retirement,true,false,Store Operations,Retail,Security,Store Operations,IC1,375,93,AR,retail_ops
