movement_id,employee_id,movement_date,movement_type,old_department,new_department,old_sub_department,new_sub_department,old_job_level,new_job_level,old_manager_id,new_manager_id,old_location,new_location,country,business_unit,segment
MOV00000001,85,2016-01-15,Transfer,Regional Operations,Sales,Region South,Key Accounts,IC1,IC1,35,7,STORE-BR-027,STORE-BR-038,BR,Retail,retail_ops
MOV00000002,104,2016-01-15,Transfer,Regional Operations,Customer Experience,Region South,CX Design,IC1,IC1,146,90,STORE-BR-003,SITE-BR-004,BR,Customer,customer
MOV00000003,359,2016-01-15,Lateral Move,Store Operations,Customer Service,Security,Contact Center,IC1,IC1,375,389,STORE-AR-003,SITE-AR-001,AR,Customer,customer
MOV00000004,2,2016-02-15,Transfer,Distribution Centers,Customer Experience,Inventory,Voice of Customer,IC3,IC3,267,194,DC-BR-005,SITE-BR-002,BR,Customer,customer
MOV00000005,387,2016-02-15,Lateral Move,Regional Operations,Engineering,Region Southeast,Platform,IC1,IC1,111,283,STORE-BR-027,HQ-BR-001,BR,Digital,digital
MOV00000006,351,2016-03-15,Promotion,Regional Operations,Regional Operations,Region Southeast,Region Southeast,IC2,IC3,336,343,STORE-AR-001,STORE-AR-001,AR,Retail,retail_ops
MOV00000007,318,2016-03-15,Promotion,Procurement,Procurement,Supplier Management,Supplier Management,IC1,IC2,302,319,DC-BR-006,DC-BR-006,BR,Supply Chain,supply
MOV00000008,49,2016-03-15,Promotion,Procurement,Procurement,Sourcing,Sourcing,IC1,IC2,302,319,DC-BR-003,DC-BR-003,BR,Supply Chain,supply
MOV00000009,121,2016-03-15,Promotion,E-commerce,E-commerce,Catalog,Catalog,M3,M4,212,309,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000010,197,2016-03-15,Promotion,Data,Data,Analytics Engineering,Analytics Engineering,IC3,IC4,153,314,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000011,232,2016-03-15,Promotion,Data & Analytics,Data & Analytics,Business Intelligence,Business Intelligence,IC1,IC2,227,202,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000012,29,2016-03-15,Promotion,Strategy,Strategy,Corporate Strategy,Corporate Strategy,IC4,IC5,193,193,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000013,89,2016-03-15,Promotion,Finance,Finance,Treasury,Treasury,IC2,IC3,27,218,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000014,47,2016-03-15,Promotion,Procurement,Procurement,Contracts,Contracts,IC1,IC2,88,243,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000015,286,2016-03-15,Promotion,Procurement,Procurement,Indirect Procurement,Indirect Procurement,IC3,IC4,45,187,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000016,187,2016-03-15,Promotion,Procurement,Procurement,Contracts,Contracts,IC5,M2,62,62,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000017,189,2016-03-15,Transfer,Store Operations,Customer Service,Cashier,Contact Center,IC2,IC2,136,171,STORE-BR-011,SITE-BR-003,BR,Customer,customer
MOV00000018,170,2016-03-15,Lateral Move,Visual Merchandising,Strategy,Store Design,Corporate Strategy,IC2,IC2,273,162,STORE-BR-016,HQ-BR-001,BR,Corporate,corporate
MOV00000019,129,2016-04-15,Transfer,E-commerce,Store Operations,Checkout,Store Management,M1,M1,281,65,HQ-BR-001,STORE-BR-034,BR,Retail,retail_ops
MOV00000020,270,2016-04-15,Lateral Move,Regional Operations,Visual Merchandising,Region South,Store Design,IC2,IC2,34,273,STORE-BR-006,STORE-BR-037,BR,Retail,retail_ops
MOV00000021,13,2016-05-15,Transfer,Sales,Regional Operations,Floor Sales,Region South,IC1,IC1,7,174,STORE-BR-005,STORE-BR-010,BR,Retail,retail_ops
MOV00000022,14,2016-05-15,Transfer,Visual Merchandising,Marketing,Store Design,Performance,M3,M3,212,309,STORE-BR-039,HQ-BR-001,BR,Corporate,corporate
MOV00000023,243,2016-06-15,Transfer,Procurement,Customer Service,Contracts,Contact Center,IC3,IC3,82,171,HQ-BR-001,SITE-BR-002,BR,Customer,customer
MOV00000024,281,2016-06-15,Demotion,E-commerce,E-commerce,Catalog,Catalog,M3,M2,212,121,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000025,392,2016-07-15,Transfer,Store Operations,Risk,Cashier,Fraud,IC1,IC1,280,248,STORE-BR-021,HQ-BR-001,BR,Corporate,corporate
MOV00000026,442,2016-07-15,Transfer,Visual Merchandising,Sales,Merchandising,Key Accounts,IC1,IC1,270,61,STORE-BR-024,STORE-BR-040,BR,Retail,retail_ops
MOV00000027,322,2016-07-15,Lateral Move,Logistics,Store Operations,Last Mile,Cashier,IC1,IC1,276,280,DC-BR-005,STORE-BR-001,BR,Retail,retail_ops
MOV00000028,132,2016-08-15,Transfer,Customer Operations,Strategy,Order Support,PMO,IC1,IC1,288,437,SITE-BR-003,HQ-BR-001,BR,Corporate,corporate
